id,ndvi,fecha
48,0.3015873,2020-10-20T00:00:00Z
48,0.2182952,2020-10-30T00:00:00Z
48,0.1412708,2020-11-09T00:00:00Z
48,0.1274752,2020-11-24T00:00:00Z
48,0.1098199,2020-11-29T00:00:00Z
49,0.3333333,2020-09-10T00:00:00Z
49,0.3580508,2020-09-20T00:00:00Z
49,0.3061224,2020-10-10T00:00:00Z
49,0.305872,2020-10-15T00:00:00Z
49,0.3315168,2020-10-20T00:00:00Z
49,0.2584085,2020-10-30T00:00:00Z
49,0.137741,2020-11-09T00:00:00Z
49,0.1028917,2020-11-24T00:00:00Z
49,0.157114,2020-11-29T00:00:00Z
50,0.1067781,2020-09-10T00:00:00Z
50,0.1059603,2020-09-20T00:00:00Z
50,0.0729545,2020-10-10T00:00:00Z
50,0.1890572,2020-10-15T00:00:00Z
50,0.1235294,2020-10-20T00:00:00Z
50,0.0872919,2020-10-30T00:00:00Z
50,0.0879937,2020-11-09T00:00:00Z
50,0.1254417,2020-11-24T00:00:00Z
50,0.0977199,2020-11-29T00:00:00Z
51,0.1103723,2020-09-10T00:00:00Z
51,0.0709302,2020-09-20T00:00:00Z
51,0.2278146,2020-10-10T00:00:00Z
51,0.174675,2020-10-15T00:00:00Z
51,0.2468983,2020-10-20T00:00:00Z
51,0.2220386,2020-10-30T00:00:00Z
51,0.2026073,2020-11-09T00:00:00Z
51,0.1713427,2020-11-24T00:00:00Z
51,0.2226629,2020-11-29T00:00:00Z
52,0.242236,2020-09-10T00:00:00Z
52,0.2301508,2020-09-20T00:00:00Z
52,0.2676311,2020-10-10T00:00:00Z
52,0.2512156,2020-10-15T00:00:00Z
52,0.2555366,2020-10-20T00:00:00Z
52,0.2962681,2020-10-30T00:00:00Z
52,0.2857143,2020-11-09T00:00:00Z
52,0.2941999,2020-11-24T00:00:00Z
52,0.2496644,2020-11-29T00:00:00Z
53,0.371345,2020-09-10T00:00:00Z
53,0.3615495,2020-09-20T00:00:00Z
53,0.2428169,2020-10-10T00:00:00Z
53,0.2830601,2020-10-15T00:00:00Z
53,0.2352634,2020-10-20T00:00:00Z
53,0.1923792,2020-10-30T00:00:00Z
53,0.1612371,2020-11-09T00:00:00Z
53,0.191396,2020-11-24T00:00:00Z
53,0.1416442,2020-11-29T00:00:00Z
54,0.3149171,2020-09-10T00:00:00Z
54,0.344,2020-09-20T00:00:00Z
54,0.3514644,2020-10-10T00:00:00Z
54,0.301732,2020-10-15T00:00:00Z
54,0.2931393,2020-10-20T00:00:00Z
54,0.2920696,2020-10-30T00:00:00Z
